Date,Open,High,Low,Close,Adj Close,Volume
2011-09-23,20.974319,21.110271,20.777946,21.034742,9.209507,137437952
2011-09-26,21.193354,21.465258,21.148035,21.404835,9.371541,93473208
2011-09-27,21.729607,21.903322,21.548338,21.654079,9.480663,38971543
2011-09-28,21.744713,21.971298,21.533234,21.563444,9.440983,28658774
2011-09-29,21.858006,21.873112,21.503021,21.782476,9.536878,45249951
2011-09-30,21.699396,21.903322,21.525681,21.540785,9.431065,36753578
2011-10-03,21.631420,21.790030,21.268883,21.268883,9.312017,42563422
2011-10-04,21.185801,21.435045,20.808157,21.382175,9.361619,57329200
2011-10-05,21.148035,21.404835,21.072508,21.382175,9.553746,42669872
2011-10-06,21.344412,21.472811,21.102718,21.457705,9.587496,29346990
2011-10-07,21.661631,21.699396,21.382175,21.480364,9.597615,29641050
2011-10-10,21.782476,22.031721,21.737160,22.031721,9.843970,27591366
2011-10-11,21.812689,21.903322,21.684290,21.729607,9.708981,29290190
2011-10-12,21.835346,22.077040,21.623867,21.895769,9.783228,34291070
2011-10-13,21.774923,21.993958,21.676737,21.978851,9.820343,26529650
2011-10-14,22.182779,22.228098,21.880665,22.031721,9.843970,31511068
2011-10-17,22.046827,22.190332,21.850452,21.918428,9.793348,24479701
2011-10-18,21.941088,22.167673,21.729607,22.061934,9.857471,26388776
2011-10-19,22.107250,22.167673,21.858006,21.971298,9.816971,26117621
2011-10-20,21.744713,21.941088,21.623867,21.895769,9.783228,41550562
2011-10-21,22.092146,22.182779,21.888218,22.001511,9.830473,40020416
2011-10-24,21.986404,22.009064,21.729607,21.812689,9.746101,32050598
2011-10-25,21.699396,21.790030,21.389729,21.457705,9.587496,44631378
2011-10-26,21.676737,21.737160,21.495468,21.714502,9.702233,37064983
2011-10-27,22.054380,22.409367,21.941088,22.258308,9.945210,49974910
2011-10-28,22.265862,22.507553,22.137463,22.462236,10.036327,32215700
2011-10-31,22.250755,22.394260,22.129910,22.137463,9.891217,34869526
2011-11-01,21.925982,21.986404,21.616314,21.676737,9.685360,41759357
2011-11-02,22.024170,22.137463,21.850452,21.963745,9.813600,28810240
2011-11-03,22.129910,22.273415,21.963745,22.235649,9.935085,27520664
2011-11-04,22.009064,22.084593,21.865559,22.024170,9.840597,24383181
2011-11-07,22.054380,22.243202,21.941088,22.235649,9.935085,19871254
2011-11-08,22.137463,22.280968,22.016617,22.250755,9.941834,27589115
2011-11-09,22.001511,22.092146,21.752266,21.835346,9.756228,35978641
2011-11-10,21.956194,22.160122,21.865559,22.024170,9.840597,26310660
2011-11-11,22.205439,22.318731,22.145016,22.220545,9.928337,20008553
2011-11-14,22.099697,22.145016,21.941088,22.046827,9.850718,29037836
2011-11-15,22.061934,22.182779,21.918428,22.092146,9.870969,37964244
2011-11-16,21.993958,22.069487,21.676737,21.737160,9.712357,35149684
2011-11-17,21.759819,21.790030,21.472811,21.608761,9.654984,36409073
2011-11-18,21.661631,21.714502,21.480364,21.631420,9.665111,29234185
2011-11-21,21.442598,21.518127,21.261330,21.419941,9.570621,29501103
